ID,NEXT,MPHON,FEAT,BASEF,FLAG
Root,"Nouns Verbs NounPrefNom NounPrefGen",,,,
Compounds,Nouns,{§},,,
,"! KSK S01 - S82",,,,
/s,"SgNom SgCase SgPtv SgIll PlNom PlCase PlGen PlPtv PlIll",,N,,
s0,SgNom,,,,
s1,"SgCase SgPtv SgIll PlNom",,,,
s2,"PlCase PlGen PlPtv PlIll",,,,
s3,"SgPtv PlGenTen PlPtv",,,,
s01,"s0 s1",,,,
,!,,,,
SgCase,"SgGen SgEss SgTra SgIne SgEla SgAde SgAbl SgAll SgAbe",,,,
SgNom,Clit,,"SG NOM",,
SgGen,Clit,n,"SG GEN",,
SgGen,PossObl,,"SG GEN",,
SgPtv,"Poss PossV",{Øt}{aä},"SG PTV",,
SgPtvA,"! Poss",{aä},"SG PTV",,
SgPtvTA,"! Poss",t{aä},"SG PTV",,
SgTra,Clit,ksi,"SG TRA",,
SgTra,"PossObl PossV",kse,"SG TRA",,
SgEss,"Poss PossV",{nrs}{aä},"SG ESS",,
SgIne,"Poss PossV",ss{aä},"SG INE",,
SgEla,"Poss PossV",st{aä},"SG ELA",,
SgIll,Clit,{Øh}{V}n,"SG ILL",,
,Clit,se{Øe}n,"SG ILL",,
,PossObl,{Øh}{V},"SG ILL",,
,PossObl,se{Øe},"SG ILL",,
SgAde,"Poss PossV",ll{aä},"SG ADE",,
SgAbl,"Poss PossV",lt{aä},"SG ABL",,
SgAll,"Poss PossV",lle,"SG ALL",,
SgAbe,"Poss PossV",tt{aä},"SG ABE",,
,!,,,,
PlCase,"PlEss PlTra PlIne PlEla PlAde PlAbl PlAll PlAbe PlCmt PlIns",,,,
PlNom,Clit,t,"PL NOM",,
PlGen,Clit,{ij}{dt}{Øt}en,"PL GEN",,
,Clit,{ij}en,"PL GEN",,
,Clit,in,"PL GEN",,
,Clit,ten,"PL GEN",,
PlGen,PossObl,{ij}{dt}{Øt}e,"PL GEN",,
,PossObl,{ij}e,"PL GEN",,
,PossObl,i,"PL GEN",,
,PossObl,te,"PL GEN",,
PlGenIn,"! Clit",in,"PL GEN",,
,"! PossObl",i,"PL GEN",,
PlPtv,Poss,{ij}{Øt}{aä},"PL PTV",,
PlTra,Clit,{ij}ksi,"PL TRA",,
,"PossObl PossV",{ij}kse,"PL TRA",,
PlEss,Poss,{ij}n{aä},"PL ESS",,
PlIne,Poss,{ij}ss{aä},"PL INE",,
PlEla,Poss,{ij}st{aä},"PL ELA",,
PlIll,Clit,{ij}si{iØ}n,"PL ILL",,
,Clit,{ij}{Øh}{V}n,"PL ILL",,
PlIll,PossObl,{ij}si{iØ},"PL ILL",,
,PossObl,{ij}{Øh}{V},"PL ILL",,
PlAde,Poss,{ij}ll{aä},"PL ADE",,
PlAbl,Poss,{ij}lt{aä},"PL ABL",,
PlAll,Poss,{ij}lle,"PL ALL",,
PlAbe,Poss,{ij}tt{aä},"PL ABE",,
PlCmt,Poss,{ij}ne,"PL CMT",,
PlIns,Clit,{ij}n,"PL INS",,
Poss,Clit,,,,
,PossObl,,,,
PossObl,Clit,ni,SG1,,
,Clit,si,SG2,,
,Clit,ns{aä},SG3,,
,Clit,mme,PL1,,
,Clit,nne,PL2,,
,Clit,ns{aä},PL3,,
PossV,Clit,{V}n,SG3,,
Clit,End,,,,
,End,{`}kin,KIN,,
,End,{`}p{aä},PA,,
,End,{`}h{aä}n,HAN,,
,End,{`}k{oö},KO,,
,End,{`}k{aä}{aä}n,KAAN,,
,End,{`}k{oö}s,KOS,,
,End,{`}p{aä}s,PAS,,
ClitS,End,{`}s,S,,
v0,"Person neg",,"V PRES ACT",,
,"Clit ClitS",{C},"V IMPV ACT 2SG",,
,"s0 s1 s2 s3",mi{ns}{eeØØ}{nØØØ},DVMI,,
,"s0 s1 s3",m{aä},"DVMA ACT",,
,s2,m{aØ},"DVMA ACT",,
,"s0 s1 s3",v{aä},"PCP1 ACT",,
,s2,v{aØ},"PCP1 ACT",,
,s1,m{aä}t{tØ}{oö}{ØiØ}{mn}{aä},PCP3,,
,"s0 s2 s3",m{aä}t{tØ}{oö}{ØiØ}{mn}{aØ},PCP3,,
v1,"Person neg",{i},"V PAST ACT",,
v2,"Person neg",isi,"V COND ACT",,
v3,"Person neg",{nlrs}e,"V POTN ACT",,
,Clit,k{oö}{oö}n,"V IMPV ACT 3SG",,
,Clit,k{aä}{aä}mme,"V IMPV ACT 1PL",,
,Clit,k{aä}{aä},"V IMPV ACT 2PL",,
,Clit,k{aä}{aä}tte,"V IMPV ACT 2PL",,
,Clit,k{oö}{oö}t,"V IMPV ACT 3PL",,
,neg4pe,{dlnrtØ}{C}{aä},"V PRES PSS",,
,Clit,{tttØ}tiin,"V PAST PSS 4PE",,
,neg4pe,{tttØ}t{aä}isi,"V COND PSS",,
,neg4pe,{tttØ}t{aä}ne,"V POTN PSS",,
,neg4pe,{tttØ}t{aä}k{oö},"V IMPV PSS",,
,Clit,{dlnrtØ}{aä},"V INF1 NOM",,
,PossObl,{dlnrtØ}{aä}kse,"V INF1 TRA",,
,Poss,{dlnrtØ}ess{aä},"V INF2 ACT INE",,
,Clit,{dlnrtØ}en,"V INF2 ACT MAN",,
,Clit,{tttØ}t{aä}ess{aä},"V INF2 PSS INE",,
,Clit,{tttØ}t{aä}m{aä}n,"V DVMA PSS INS",,
,"s0 s1 s3",{tttØ}t{aä}v{aä},"PCP1 PSS",,
,s2,{tttØ}t{aä}v{aØ},"PCP1 PSS",,
,"s0 s1 s2 s3",{nlrs}{ue}{tØthn}{ØeØØØ},"PCP2 ACT",,
,"s0 s1 s2 s3",{dlnrtØ}{tØ}{uy},"PCP2 PSS",,
,"s0 s1 s2 s3",{tttØ}{tØ}{uy},"PCP2 PSS",,
,,,,,
,,,,,
v0123,"v0 v1 v2 v3",,,,
v012,"v0 v1 v2",,,,
v02,"v0 v2",,,,
v03,"v0 v3",,,,
v12,"v1 v2",,,,
v13,"v1 v3",,,,
/v,v0123,,,,
/v012,v012,,,,
/v02,v02,,,,
/v3,v3,,,,
,,,,,
,,,,,
neg4pe,"neg 4pe",,,,
neg,Clit,{C},NEG,,
4pe,Clit,{V}n,4PE,,
Person,Clit,n,1SG,,
,Clit,t,2SG,,
,Clit,{VØ},3SG,,
,Clit,mme,1PL,,
,Clit,tte,2PL,,
,Clit,v{aä}t,3PL,,
,,,,,
,,,,,
End,#,,,,
End,!WCL,§,,§,
