CONT;ICLASS;MPHON;COMMENT
Define;Vo;[a|e|i|o|u|y|ä|ö];All vowels
Define;Co;[b|c|d|f|g|h|j|k|l|m|n|p|q|r|s|š|t|v|w|x|z|ž];All consonants
Define;Gwk;[(l|r|n) k 0:{kØ}|(h|l|r) 0:{kØ}|n g:{kg}];Weak k : morphophoneme
Define;Gwp;[m m:{pm} | (l|r) v:{pv} | (l|r|m) p 0:{pØ}];Weak p : morphophoneme
Define;Gwt;[(h) d:{td}|l l:{tl}|n n:{tn}|r r:{tr}|(l|r|n) t 0:{tØ}];Weak t : morphophoneme
Define;Gw;[Gwk|Gwp|Gwt];Gradating weak cons : morphophoneme
Define;Gwj;[(h|l|r) j:{kj}];tarjeta-tarkenee  
Define;Gsk;[(l|r|n) k k:{kØ}|(h|l|r) k:{kØ}|n k:{kg}];Strong k : morphophoneme
Define;Gsp;[m p:{pm}|(l|r) p:{pv}|(l|r|m) p p:{pØ}];Strong p : morphophoneme
Define;Gst;[(h) t:{td}|l t:{tl}|n t:{tn}|r t:{tr}|(l|r|n) t t:{tØ}];Strong t : morphophoneme
Define;Gs;[Gsk|Gsp|Gst];Gradating strong cons : morphophoneme
Define;CCns;[[[Co+] - Gs.u]|h k];Non-gradating cons clusters
Define;Gsj;[[h|l|r] k:{kj}];sulkea-suljen  
Define;Gtds;[l t:{tls}|n t:{tns}|r t:{trs}];Strong t : s and weak
Define;V1V1;[a a|e e|i i|o o|u u|y y|ä ä|ö ö];Long vowels
Define;Vi;[Vo i];Diphthongs with i
Define;V1V2;[a u|e u|i e|e u|e y|i e|i u|i y|o u|u o|y ö|ä y|ö y];Diphthongs in first syll
Define;VV;[V1V1|Vi|V1V2];All diphthongs
Define;Cocl;[Co+|'];Consonant cluster within
Define;Sy1;[[Co+|'] Vo+];
Define;Sy2;Sy1 (Sy1);
Define;Sy3;Sy2 (Sy1);
Define;Forl;[b|c|d|f|g|q|š|w|x|z|ž];Foreign sounding letter
Define;Forb;[n j|k l|k r|k v|p r|p s|s m|s p|t l|t r];Foreign bigrams
Define;Forg;[$[Forl|Forb]];Foreign sounding words
Define;Coida;[b|d|n d|f|f f|g|h|j|k|l|l l|m|n|n n|p|r|s|š|t|t t|v];For -oida verbs
/v;V01;<Co* Vo+ (Sy1)* (CCns) [o|ö|u|y] [a:0|ä:0]>;PUNOA
/v;V01*;<Co* Vo+ (Sy1)* Gs [o|ö|u|y] [a:0|ä:0]>;KUTOA
!!;;;
/v;V02;<Co* [i u|o|o i|o u|u|u i|u o] CCns a:{aØe} a:0>;MUISTAA
/v;V02;<Co* [e|e y|i e|i|i i|y|y i|y y|ä|ä i|ä y|ä ä|ö|ö y] CCns ä:{äØe} ä:0>;ELÄÄ
/v;V02*;<(Co) [i u|o|o i|o u|u|u i|u o] Gs a:{aØe} a:0>;JOHTAA
/v;V02*;<(Co) [e|e y|i e|i|i i|y|y i|y y|ä|ä i|ä y|ä ä|ö|ö y] Gs ä:{äØe} ä:0>;PITÄÄ
/v;V02*;<[Co* Vo+]+ Co* [a|e|o|o u|u|u o] h t:{td} a:{aØe} a:0>;TUHAHTAA
/v;V02*;<[Co* Vo+]+ Co* [e|i i|y|ä|ö] h t:{td} ä:{äØe} ä:0>;PÖLLÄHTÄÄ
/v;V02;<Co* Vo+ Co* [a|a i|e|i|o|u] s t a:{aØe} a:0>;KAJASTAA AHDISTAA
/v;V02;<Co* Vo+ Co* [e|e i|i|i i|y|ä|ä ä|ö] s t ä:{äØe} ä:0>;VIRKISTÄÄ
!!/v;V02;<[Co* Vo+]+ (l|n) l (a) i s t a:{aØe} a:0>;MATERIAALISTAA MAHDOLLISTAA
!!/v;V02;<[Co* Vo+]+ (l|n) l (ä) i s t ä:{äØe} ä:0>;VENÄLÄISTÄÄ
!!/v;V02;<[Co* Vo+]+ (l|n) n (a|o) i s t a:{aØe} a:0>;ERIKOISTAA VAKINAISTAA
!!/v;V02;<[Co* Vo+]+ (l|n) n (ä|ö) i s t ä:{äØe} ä:0>;ITSENÄISTÄÄ SÄHKÖISTÄÄ
/v;V02;<[Co* Vo+]+ (Cocl) (a|e|o|u) i s t a:{aØe} a:0>;ASEISTAA KONEISTAA
/v;V02;<[Co* Vo+]+ (Cocl) (ä|e|ö|y) i s t ä:{äØe} ä:0>;SÄHKÖISTÄÄ
/v;V02*;<[Co* Vo+]+ (Cocl) [a|a u|e|e u|i|o|o i|u|u i|u o] t t:{tØ} a:{aØe} a:0>;JOHDATTAA
/v;V02*;<[Co* Vo+]+ (Cocl) [e|e i|i|y|y y|ä|ä y|ö|ö i] t t:{tØ} ä:{äØe} ä:0>;YLETTÄÄ
!!/v;V02;<Co* Vo+ (Sy1)* CCns [a:{aØe} a:0|ä:{äØe} ä:0]> 1;MUISTAA
!!/v;V02*;<Co* Vo+ (Sy1)* Gs [a:{aØe} a:0|ä:{äØe} ä:0]> 1;HUUDAHTAA
!!;;;
/v;V03;<Co VV t:{tds} [a:{aØe} a:0|ä:{äØe} ä:0]>;HUUTAA
/v;V04;<Co VV t:{tds} [a:{aØe} a:0|ä:{äØe} ä:0]>;SOUTAA
/v;V05;<(Co) [Vo|VV] ((Co (Co)) Vo) l t:{tls} [a:{aØe} a:0|ä:{äØe} ä:0]>;PUOLTAA
/v;V06;<Co* [Vo|VV] (Co (Co) Vo) r t:{trs} [a:{aØe} a:0|ä:{äØe} ä:0]>;MURTAA
/v;V07;<s o r [t:{trs}|t:{tr}] a:{aØe} a:0>;SORTAA
/v;V08;lentää:len{tns}{äØe};
/v;V08;kyntää:kyn{tns}{äØe};
/v;V08;<Co* Vo+ Co* Vo+ Co* a n t:{tns} a:{aØe} a:0>;ITALIANTAA
/v;V08;<Co* Vo+ Co* [a|e|i|o|u] n t:{tns} a:{aØe} a:0>;PAHENTAA KUSTANTAA
/v;V08;<Co* Vo+ Co* [e|i|y|ä|ö] n t:{tns} ä:{äØe} ä:0>;HÖYHENTÄÄ
/v;V08;<[Co* Vo+]+ l l i s e n t:{tns} ä:{äØe} ä:0>;TÄYDELLISENTÄÄ
!!/v;V08;<Co* Vo+ (Co+ Vo+)* n t:{tns} [a:{aØe} a:0 | ä:{äØe} ä:0]>;PAHENTAA
/v;V09;<(Co) [a|a a|a i|a u] CCns a:{aoe} a:0>;KAIVAA 
/v;V09*;<(Co) [a|a a|a i|a u] Gs a:{aoe} a:0>;KATTAA
/v;V09;<(Co) [e i|i] CCns a:{aoe} a:0> 5;NIKSAA
/v;V10*;auttaa:aut{tØ}{aoØe};
/v;V10;haastaa:haast{aoØe};HAASTAA
/v;V10;haistaa:haist{aoØe};
/v;V10*;kaihtaa:kaih{td}{aoØe};
/v;V10*;karttaa:kart{tØ}{aoØe};
/v;V10;kastaa:kast{aoØe};
/v;V10*;kilkkaa:kilk{kØ}{aoØe};
/v;V10;laistaa:laist{aoØe};
/v;V10*;laittaa:lait{tØ}{aoØe};
/v;V10;lipsaa:lips{aoØe};
/v;V10;maiskaa:maisk{aoØe};
/v;V10;maistaa:maist{aoØe};
/v;V10*;maittaa:mait{tØ}{aoØe};
/v;V10*;malttaa:malt{yØ}{aoØe};
/v;V10*;naittaa:nait{tØ}{aoØe};
/v;V10;nauskaa:nausk{aoØe};
/v;V10*;paukkaa:pauk{kØ}{aoØe};
/v;V10;raastaa:raast{aoØe};
/v;V10;rauskaa:rausk{aoØe};
/v;V10;ripsaa:rips{aoØe};
/v;V10;tirskaa:tirsk{aoØe};
!!/v;V10;<Co VV [s k|s t] a:{aoØe} a:0>;HAASTAA
!!/v;V10*;<(Co) VV [k {kØ}:k|t {tØ}] a:{aoØe} a:0>;LAITTAA
/v;V11*;vilkkaa:vilkk{aoØe};
/v;V11*;virkkaa:virkk{aoØe};
/v;V11*;paahtaa:paah{td}{aoØe};
/v;V11;paistaa:paist{aoØe};
/v;V11;raistaa:raist{aoØe};
/v;V11*;saattaa:saat{tØ}{aoØe};
/v;V11*;taittaa:tait{tØ}{aoØe};
/v;V11*;palttaa:palt{tØ}{aoØe};
/v;V11*;varttaa:vart{tØ}{aoØe};
!!/v;V11;<Co a i s t a:{aoØe} a:0 >;PAISTAA 
!!/v;V11*;<Co [a|i|a a|a i] [Gsk|Gst] a:{aoØe} a:0 >;VIRKKAA 
/v;V12;<[k|p|s|v] a a r t:{trs} a:{aoØe} a:0>;SAARTAA
/v;V13;imeä:ime{eiØ};
/v;V13;itkeä:itk{eiØ};
/v;V13;iskeä:isk{eiØ};
/v;V13;kaitsea:kaits{eiØ};
/v;V13;loitsea:loits{eiØ};
/v;V13;suitsea:suits{eiØ};
/v;V13;<Co Vo CCns e:{eiØ} [a:0|ä:0]>;LASKEA
/v;V13*;<Co Vo Gs e:{eiØ} [a:0|ä:0]>;KYLPEÄ
/v;V13*;<Co Vo Gsj e:{eiØ} [a:0|ä:0]>;SULKEA
/v;V14;tuntea:tun{tns}{eiØ};TUNTEA
/v;V15;potea:po{tds}{eiØ};POTEA
lä-hte/v;V16;lähteä:lä;LÄHTEÄ
/v;V17;<Co* Vo+ CCns i:{iØ} [a:0|ä:0]>;SALLIA 
/v;V17*;<Co* Vo+ Gs i:{iØ} [a:0|ä:0]>;LEMPIÄ 
/v;V17;<Co* Vo+ (Sy1)* [k s|p s] i:{iØ} [a:0|ä:0]>;KÄVELEKSIÄ 
/v;V17*;<Co* Vo+ (Sy1)* [h t:{td}] i:{iØ} [a:0|ä:0]>;PUIKKELEHTIA 
/v;V18;<n a i:{iØ} d:0 a:0>;NAIDA
/v;V18;<Co o i:{iØ} d:0 a:0>;VOIDA
/v;V18;<(p) u i:{iØ} d:0 a:0>;UIDA PUIDA
/v;V18;<Co* [Vo+ Cocl]* Vo+ (Co* Coida) (i) [o|ö] i:{iØ} d:0 [a:0|ä:0]>;ABSORBOIDA EMALJOIDA SMIRGELÖIDÄ
!!/v;V18;<Co* Vo+ Cocl Vo (Coida) i [o|ö] i:{iØ} d:0 [a:0|ä:0]>;VERIFIOIDA
/v;V19;saada:sa{VØ} 0;SAADA
/v;V19;jäädä:jä{VØ} 0;JÄÄDÄ
/v;V20;myydä:my{VØ} 0;MYYDÄ
/v;V21;<Co [u:{uØ} o d:0 a:0|y:{yØ} ö d:0 ä:0] >;JUODA SYÖDÄ
/v;V22;viedä:v{iØ}e;VIEDÄ
kä-y/v;V23;käydä:kä;KÄYDÄ
/v;V24;<Co* [Vo|VV] Co* (a|ä) i s 0:{eØ} t:0 [a:0|ä:0]>;NUOLAISTA
/v;V24;<Co* [Vo|VV] (Sy1) Co*  s 0:{eØ} t:0 [a:0|ä:0]>;NOUSTA SEISTÄ
/v;V24*;rangaista:ran{kg}ais{eØ};
/v;V24*;vilaista:vil{kØ}ais{eØ};
/v;V24*;temmaista:tem{pØ}ais{eØ};
/v;V24*;soaista:so{kØ}ais{eØ};
/v;V24*;lauaista:lai{kØ}ais{eØ};
/v;V24*;sivaista:si{pv}ais{eØ};
/v;V24*;ravista:ra{pv}is{eØ};
/v;V24*;läväistä:lä{pv}äis{eØ};
!!/v;V24*;<Co* [Vo|VV] Gw (a|ä) i s 0:{eØ} t:0 [a:0|ä:0]>;LAUAISTA
/v;V25;tulla:tul{eØ};
/v;V25;<Co VV l 0:{eØ} l:0 [a:0|ä:0]>;TUULLA NIELLÄ
/v;V26;<Co [u|i e] r 0:{eØ} r:0 [a:0|ä:0]>;PURRA PIERRÄ
/v;V27;<[p a|m e|m ä] n 0:{eØ} n:0 [a:0|ä:0]>;PANNA MENNÄ
katsel-e/v;V28;<Co* Vo+ (Sy1)* Co+ [e|i e|e i] l l:0 [a:0|ä:0]>;KATSELLA HORJAHDELLA PARVEILLA katsel-e/v
katsel-e/v;V28*;<Co* Vo+ Sy1* Gw e l l:0 [a:0|ä:0]>;HUUDELLA POKSAHDELLA katsel-e/v
arva-ile/v;V29;<Co* Vo+ Sy1* Co+ [a|ä|o|ö|u|y] i:0 l:0 l:0 [a:0|ä:0]>;ARVAILLA PAKOILLA KIUKKUILLA arva-ile/v 
haravo-i/v;V30;<[[(Co) Vo+ Co+]-Forg] Vo [k|l|r|v] [o|ö] i:0 d:0 [a:0|ä:0]> 5;HARAVOIDA haravo-i/v
vali-tse/v;V31;<Co* Vo+ (Sy2) Co* i t:0 [a:0|ä:0]>;VALITA vali-tse/v
juo-kse/v;V32;<[j u o | p i e | s y ö] s:0 t:0 [a:0|ä:0]>;JUOSTA juo-kse/v
nä-ke/v;V33;<[n ä | t e] h:0 d:0 [a:0|ä:0]>;NÄHDÄ nä-ke/v
ale-ne/v;V34;<Co* Vo+ (Sy1) Co+ [a|ä|o|ö|u|y|e] t:0 [a:0|ä:0]>;ALETA ale-ne/v 
ale-ne/v;V34*;<Co* Vo+ (Sy1) Gw [a|ä|o|ö|u|y|e] t:0 [a:0|ä:0]>;KYETÄ ale-ne/v 
ale-ne/v;V34*;<Co* Vo+ (Sy1) Gwj e t:0 [a:0|ä:0]>;KYETÄ ale-ne/v 
sala-A/v;V35;<Co* Vo+ (Sy1)* Co* [a|ä] t:0 [a:0|ä:0]>;SALATA sala-V/v 
sala-A/v;V35*;<Co* Vo+ (Sy1)* Gw [a|ä] t:0 [a:0|ä:0]>;AIDATA sala-V/v 
sala-A/v;V35*;<Co* Vo+ (Sy1)* Gwj ä t:0 ä:0>;PELJÄTÄ sala-V/v 
katke-A/v;V36;<Co* [Vo|VV] Co+ e t:0 [a:0|ä:0]>;KATKETA katke-A/v 
