{C},,
{VØ},,
{aoaaae},{aoe},kaiv<a>n kaiv<o>i kaiv<e>taan
{aoØaaae},{aoØe},haast<a>n haast<o>i haast<>i haast<e>taan
{aØaaae},{aØe},maust<a>n muist<>i muist<e>taan
{aØaaaeØØ},{aØe},taid<a>n tais<>in taid<e>taan
{aØa},,-- kihaj<a>n
{aØaØaa},{aØ},sa<a>n sa<>i sa<a>nee sa<>isi 
{aØoØaaae},{aoØe},saarr<a>n saars<>i saart<o>i saarr<e>taan
{aØØaaae},,suod<a>n sous<>i sout<>i soud<e>taan
{aØØaØØ},,halu<a>n halu<>si halun<>nee halu<a>isi halu<>tkoon halu<>ttiin
{aØØaØØ},,halu<a>n halu<>si halu<a>isi halu<>nnee halu<>taan
{aØØØØØ},,sala<a>n sala<>si sala<>nnee sala<>isi sala<>ttiin
{aä},{aä},punot<a><a>n myyd<ä><ä>n
{dsnttt},,
{dstttdnt},,
{dsttttd},,
{dtsttstd},,
{dtstttd},,
{dttttd},,
{eØeØee},,
{eØØeØee},,
{eØØeØØee},,
{eØØØeØØ},,
{eØØØØØ},,
{gkkkkg},,
{hhkhhkhh},,
{iiiieii},,arva<i>len arva<i>li arva<i>lisi arva<e>lisi
{i},,
{iØiØii},,sall<i>n sall<>i sall<>isi sall<i>nee sall<i>ttu
{kkjkjj},,val<k>eni val<j>ennut val<j>etkoon
{kkØkØØ},{kØ},hyl<k>ään hyl<>ännee juo<k>sen juo<>ssee juo<>skoon juo<k>se 
{lsttttl},,
{nlrs},,
{nnnnntt},,
{nnnntt},,
{nnØ},,
{nstttn},,
{nsttttn},,
{ntt},,
{oö},{oö},punok<o><o>n syök<ö><ö>n
{ppmpmm},{pm},läm<p>iän läm<m>innen läm<p>iäisi läm<m>itköön
{ppvpvv},{pv},vi<p>uan vi<v>unnee vi<p>ua vi<v>uttu
{rsttttr},,
{rstttttr},,
{ssØssØØ},,
{ssØsØØ},,
{tdØ},,
{ttdtdd},{td},ma<t>elen ma<d>ellut
{ttntttt},,vali<t>sen vali<n>nee vali<t>koon vali<n>nut vali<t>tu
{ttnttt},,haravoi<t>sen haravoi<n>nee haravoi<t>se haravoi<n>ut
{uy},{uy},punott<u> syöt<y>
{uØuØuu},{uØ},j<u>on j<>oi
{yØyØyy},{yØ},s<y>ön s<>öi
{eØØØØØ},,nä<e>n näk<>i näh<>nee näk<>isi näh<>nyt
{Økhkhh},,nä<>en nä<k>i nä<h>nee nä<k>isi nä<h>nyt
{ØkkkkØ},,
{ØppppØ},,
{ØsnØttjj},,
{ØsnØtt},,
{ØsnØttØsn},,
{ØsnØttØsnØ},,
{ØsnØttØØ},,
{ØsØØØØ},,
{Øt},,
{ØvØvØØ},,
{äØØØØØ},,
{äØØäØØiØØ},,
{äØØäØØ},,
{äØäääe},,
{ääaäää},,
