ID;KSK;STM SG1;STM PAST SG3;STM POTN SG3;STM COND SG3;STM IMPV;STM IMPVSG3;STM PCP2;STM PSSPRES;STM PSSPAST;STM PSSPCP2
PUNOA;V1;puno.n;puno.i.;puno.ne.e;puno.isi.;puno.;puno.koon;puno.nut;puno.tØaan;puno.ttiin;puno.ttu
kutoa;V1;kudo.n;kuto.i.;kuto.ne.e;kuto.isi.;kudo.;kuto.koon;kuto.nut;kudo.taan;kudo.ttiin;kudo.ttu
MUISTAA;V2;muista.n;muist.i.;muista.ne.e;muista.isi.;muista.;muista.koon;muista.nut;muiste.taan;muiste.ttiin;muiste.ttu
hätkähtää;V2;hätkähdä.n;hätkäht.i.;hätkähtä.ne.e;hätkähtä.isi.;hätkähdä.;hätkähtä.köön;hätkähtä.nyt;hätkähde.tään;hätkähde.ttiin;hätkähde.tty
HUUTAA;V3;huuda.n;huus.i. (huut.i.);huuta.ne.e;huuta.isi.;huuda.;huuta.koon;huuta.nut;huude.taan;huude.ttiin;huude.ttu
SOUTAA;V4;souda.n;sous.i. sout.i.;souta.ne.e;souta.isi.;souda.;souta.koon;souta.nut;soude.taan;soude.ttiin;soude.ttu
PUOLTAA;V5;puolla.n;puols.i. (puolt.i.);puolta.ne.e;puolta.isi.;puolla.;puolta.koon;puolta.nut;puolle.taan;puolle.ttiin;puolle.ttu
MURTAA;V6;murra.n;murs.i. (murt.i.);murta.ne.e;murta.isi.;murra.;murta.koon;murta.nut;murre.taan;murre.ttiin;murre.ttu
SORTAA;V7;sorra.n;(sors.i.) sort.i.;sorta.ne.e;sorta.isi.;sorra.;sorta.koon;sorta.nut;sorre.taan;sorre.ttiin;sorre.ttu
PAHENTAA;V8;pahenna.n;pahens.i. (pahent.i.);pahenta.ne.e;pahenta.isi.;pahenna.;pahenta.koon;pahenta.nut;pahenne.taan;pahenne.ttiin;pahenne.ttu
KAIVAA;V9;kaiva.n;kaivo.i.;kaiva.ne.e;kaiva.isi.;kaiva.;kaiva.koon;kaiva.nut;kaive.taan;kaive.ttiin;kaive.ttu
tappaa;V9;tapa.n;tappo.i.;tappa.ne.e;tappa.isi.;tapa.;tappa.koon;tappa.nut;tape.taan;tape.ttiin;tape.ttu
HAASTAA;V10;haasta.n;haasto.i. haast.i.;haasta.ne.e;haasta.isi.;haasta.;haasta.koon;haasta.nut;haaste.taan;haaste.ttiin;haaste.ttu
PAISTAA;V11;paista.n;paisto.i. (paist.i.);paista.ne.e;paista.isi.;paista.;paista.koon;paista.nut;paiste.taan;paiste.ttiin;paiste.ttu
SAARTAA;V12;saarra.n;saars.i. saarto.i. (saart.i.);saarta.ne.e;saarta.isi.;saarra.;saarta.koon;saarta.nut;saarre.taan;saarre.ttiin;saarre.ttu
LASKEA;V13;laske.n;lask.i.;laske.ne.e;lask.isi.;laske.;laske.koon;laske.nut;laske.taan;laske.ttiin;laske.ttu
