ID,STM,STM PLNOM,STM GEN,STM PLGEN,STM PAR,STM PLPAR,STM ILL
AAPÕ,aapõ,aavõ.d,aava.,aapo.i,aapa.,aapo.i,aapa.a
SININ,sinin,sinize.d,sinize.,sinizi.je,sinis.se,sinizi.i,sinize.
AIKÕ,aikõ,aigõ.d,aiga.,aiko.i,aika.,aiko.i,aika.
JALKÕ,jalkõ,jalgõ.d,jalga.,jalko.i,jalka.,jalko.i,jalka.
VÕLKÕ,võlkõ,võlgõ.d,võlga.,võlko.i,võlka.,võlko.i,võlka.
POIKÕ,poikõ,poigõ.d,poiga.,poik.i,poika.,poik.i,poika.a
TÜTTÖ,tüttö,tütö.d,tütö.,tüttö.i,tüttö.ä,tüttö.i,tüttö.se
AIKÕ,aikõ,aigõ.d,aiga.,aiko.i,aika.,aiko.i,aika.
JALKÕ,jalkõ,jalgõ.d,jalga.,jalko.i,jalka.,jalko.i,jalka.
KOIRÕ,koirõ,koirõ.d,koira.,koir.i,koira.,koir.i,koira.a
BOBRÕ,bobrõ,bobrõ.d,bobra.,bobr.i,bobra.,bobr.i,bobra.a
BUKVÕ,bukvõ,bukvõ.d,bukva.,bukv.i,bukva.,bukv.i,bukva.a
JURMÕ,jurmõ,jurmõ.d,jurma.,jurm.i,jurma.,jurm.i,jurma.a
KAVALÕ,kavalõ,kavalõ.d,kavala.,kaval.i,kavala.,kaval.i,kavala.a
KONNÕ,konnõ,konnõ.d,konna.,konn.i,konna.,konn.i,konna.a
KUHJÕ,kuhjõ,kuhjõ.d,kuhja.,kuhj.i,kuhja.,kuhj.i,kuhja.a
KUIVÕ,kuivõ,kuivõ.d,kuiva.,kuiv.i,kuiva.,kuiv.i,kuiva.a
KUMMÕ,kummõ,kummõ.d,kumma.,kumm.i,kumma.,kumm.i,kumma.a
KUULUVÕ,kuuluvõ,kuuluvõ.d,kuuluva.,kuuluv.i,kuuluva.,kuuluv.i,kuuluva.a
KÕRVÕ,kõrvõ,kõrvõ.d,kõrva.,kõrv.i,kõrva.,kõrv.i,kõrva.a
MUUDRÕ,muudrõ,muudrõ.d,muudra.,muudr.i,muudra.,muudr.i,muudra.a
SOOLÕ,soolõ,soolõ.d,soola.,sool.i,soola.,sool.i,soola.a
TUIMÕ,tuimõ,tuimõ.d,tuima.,tuim.i,tuima.,tuim.i,tuima.a
TUTTAVÕ,tuttavõ,tuttavõ.d,tuttava.,tuttav.i,tuttava.,tuttav.i,tuttava.a
VOHMÕ,vohmõ,vohmõ.d,vohma.,vohm.i,vohma.,vohm.i,vohma.a
VÕIMÕ,võimõ,võimõ.d,võima.,võim.i,võima.,võim.i,võima.a
ÕRAVÕ,õravõ,õravõ.d,õrava.,õrav.i,õrava.,õrav.i,õrava.a
ÕZRÕ,õzrõ,õzrõ.d,õzra.,õzr.i,õzra.,õzr.i,õzra.a
FILMÕ,filmõ,filmõ.d,filma.,film.i,filma.,film.i,filma.a
LENTÜZ,lentüz,lentüse.d,lentüse.,lentüs.i,lentüs.se,lentüs.si,lentüse.sse
LUZIKKÕ,luzikkõ,luzikõ.d,luzika.,luzikko.i,luzikka.,luzikko.i,luzikka.
DOMOVIKKÕ,domovikkõ,domovikõ.d,domovika.,domovikko.i,domovikka.,domovikko.i,domovikka.
FARTUKKÕ,fartukkõ,fartukõ.d,fartuka.,fartukko.i,fartukka.,fartukko.i,fartukka.
GRIBANIKKÕ,gribanikkõ,gribanikõ.d,gribanika.,gribanikko.i,gribanikka.,gribanikko.i,gribanikka.
HARAKKÕ,harakkõ,harakõ.d,haraka.,harakko.i,harakka.,harakko.i,harakka.
JOOŽIKKÕ,joožikkõ,joožikõ.d,joožika.,joožikko.i,joožikka.,joožikko.i,joožikka.
KOPEKKÕ,kopekkõ,kopekõ.d,kopeka.,kopekko.i,kopekka.,kopekko.i,kopekka.
KRÕŽOVNIKKÕ,krõžovnikkõ,krõžovnikõ.d,krõžovnika.,krõžovnikko.i,krõžovnikka.,krõžovnikko.i,krõžovnikka.
NOORIKKÕ,noorikkõ,noorikõ.d,noorika.,noorikko.i,noorikka.,noorikko.i,noorikka.
NUŽNIKKÕ,nužnikkõ,nužnikõ.d,nužnika.,nužnikko.i,nužnikka.,nužnikko.i,nužnikka.
OBAKKÕ,obakkõ,obakõ.d,obaka.,obakko.i,obakka.,obakko.i,obakka.
PAIKKÕ,paikkõ,paikõ.d,paika.,paikko.i,paikka.,paikko.i,paikka.
PETŠNIKKÕ,petšnikkõ,petšnikõ.d,petšnika.,petšnikko.i,petšnikka.,petšnikko.i,petšnikka.
RANKKÕ,rankkõ,rankõ.d,ranka.,rankko.i,rankka.,rankko.i,rankka.
TARKKÕ,tarkkõ,tarkõ.d,tarka.,tarkko.i,tarkka.,tarkko.i,tarkka.
TIHAKKÕ,tihakkõ,tihakõ.d,tihaka.,tihakko.i,tihakka.,tihakko.i,tihakka.
TIKKÕ,tikkõ,tikõ.d,tika.,tikko.i,tikka.,tikko.i,tikka.
UROKKÕ,urokkõ,urokõ.d,uroka.,urokko.i,urokka.,urokko.i,urokka.
VAKKÕ,vakkõ,vakõ.d,vaka.,vakko.i,vakka.,vakko.i,vakka.
VUNUKKÕ,vunukkõ,vunukõ.d,vunuka.,vunukko.i,vunukka.,vunukko.i,vunukka.
LUIKKO,luikko,luiko.d,luiko.,luikko.i,luikko.a,luikko.itõ,luikko.sõ
KUKKO,kukko,kuko.d,kuko.,kukko.i,kukko.a,kukko.itõ,kukko.sõ
NAIZIKKO,naizikko,naiziko.d,naiziko.,naizikko.i,naizikko.a,naizikko.itõ,naizikko.sõ
PETTELIKKO,pettelikko,petteliko.d,petteliko.,pettelikko.i,pettelikko.a,pettelikko.itõ,pettelikko.sõ
SEUKKO,seukko,seuko.d,seuko.,seukko.i,seukko.a,seukko.itõ,seukko.sõ
SOKKO,sokko,soko.d,soko.,sokko.i,sokko.a,sokko.itõ,sokko.sõ
TŠERIKKO,tšerikko,tšeriko.d,tšeriko.,tšerikko.i,tšerikko.a,tšerikko.itõ,tšerikko.sõ
TÜTTÄRIKKO,tüttärikko,tüttäriko.d,tüttäriko.,tüttärikko.i,tüttärikko.a,tüttärikko.itõ,tüttärikko.sõ
VAD̕D̕AKKO,vad̕d̕akko,vad̕d̕ako.d,vad̕d̕ako.,vad̕d̕akko.i,vad̕d̕akko.a,vad̕d̕akko.itõ,vad̕d̕akko.sõ
VÕRKKO,võrkko,võrko.d,võrko.,võrkko.i,võrkko.a,võrkko.itõ,võrkko.sõ
ÕZRIKKO,õzrikko,õzriko.d,õzriko.,õzrikko.i,õzrikko.a,õzrikko.itõ,õzrikko.sõ
AITÕ,aitõ,aijõ.d,aija.,aito.i,aita.,aito.i,aita.a
AHKÕRÕ,ahkõrõ,ahkõrõ.d,ahkõra.,ahkõro.i,ahkõra.,ahkõro.i,ahkõra.a
AKKUNÕ,akkunõ,akkunõ.d,akkuna.,akkuno.i,akkuna.,akkuno.i,akkuna.a
AHAVÕ,ahavõ,ahavõ.d,ahava.,ahavo.i,ahava.,ahavo.i,ahava.a
OMÕN,omõn,omõna.d,omõna.,omõno.i,omõna.,omõno.i,omõna.a
PLIITTÕ,pliittõ,pliitõ.d,pliita.,pliitto.i,pliitta.,pliitto.i,pliitta.sõ
MANSIKÕZ,mansikõz,mansikka.d,mansikka.,mansikka.ijõ,mansikas.sõ,mansikka.itõ,mansikka.sõ
KATTI,katti,kati.d,kati.,katti.jõ,katti.a,katti.i,katti.se
